,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
690,690,6902,7900,2008.0,mercedes-benz,ml320 cdi diesel,good,6 cylinders,146000.0,automatic,SUV,va,12.0,2,6,15,0,403,6,140000-150000
691,691,6904,34900,2013.0,ford,f350 super duty,excellent,8 cylinders,140000.0,automatic,pickup,va,7.0,3,8,13,0,404,3,140000-150000
692,692,6908,8900,2014.0,ford,taurus,excellent,6 cylinders,98000.0,automatic,sedan,va,6.0,3,6,13,0,405,0,90000-100000
693,693,6910,12299,2011.0,toyota,sienna se,like new,6 cylinders,120525.0,automatic,van,va,9.0,4,6,1,0,406,7,120000-130000
694,694,6926,5499,2008.0,honda,accord lx,excellent,4 cylinders,137500.0,automatic,sedan,va,12.0,3,4,14,0,176,0,130000-140000
695,695,6927,6990,2016.0,hyundai,elantra,excellent,4 cylinders,121493.0,automatic,hatchback,va,4.0,3,4,4,0,329,1,120000-130000
696,696,6933,5995,2006.0,bmw,3 series,excellent,6 cylinders,109000.0,automatic,sedan,va,14.0,3,6,21,0,136,0,100000-110000
697,697,6934,14995,2003.0,jeep,wrangler,excellent,6 cylinders,52000.0,automatic,SUV,va,17.0,3,6,10,0,407,6,50000-60000
698,698,6935,6750,2002.0,buick,rendezvous,excellent,6 cylinders,49000.0,automatic,SUV,va,18.0,3,6,18,0,408,6,40000-50000
699,699,6936,6750,2005.0,subaru,impreza,excellent,4 cylinders,69000.0,manual,wagon,va,15.0,3,4,0,2,409,2,60000-70000
700,700,6937,6995,2008.0,toyota,prius,excellent,4 cylinders,76000.0,automatic,hatchback,va,12.0,3,4,1,0,213,1,70000-80000
701,701,6939,6995,2007.0,honda,cr-v,excellent,4 cylinders,157000.0,automatic,SUV,va,13.0,3,4,14,0,71,6,150000-160000
702,702,6943,24000,2004.0,dodge,2500,good,6 cylinders,115000.0,manual,truck,va,16.0,2,6,11,2,235,5,110000-120000
703,703,6947,4490,2004.0,honda,odyssey ex-l,excellent,6 cylinders,90431.0,automatic,mini-van,va,16.0,3,6,14,0,251,9,90000-100000
704,704,6949,6500,2009.0,honda,odyssey exl,excellent,6 cylinders,146445.0,automatic,mini-van,va,11.0,3,6,14,0,410,9,140000-150000
705,705,6950,5750,2011.0,honda,fit sport,excellent,4 cylinders,143819.0,automatic,hatchback,va,9.0,3,4,14,0,411,1,140000-150000
706,706,6955,37000,2018.0,nissan,titan,excellent,8 cylinders,13000.0,automatic,truck,va,2.0,3,8,5,0,146,5,10000-20000
707,707,6956,3000,2004.0,ford,explorer,good,6 cylinders,198000.0,automatic,SUV,va,16.0,2,6,13,0,63,6,190000-200000
708,708,6966,13990,2010.0,ram,1500 slt hemi,excellent,8 cylinders,153000.0,automatic,truck,va,10.0,3,8,6,0,361,5,150000-160000
709,709,6967,13990,2008.0,chevrolet,silverado z71,excellent,8 cylinders,101000.0,automatic,truck,va,12.0,3,8,9,0,195,5,100000-110000
710,710,6968,9200,2015.0,dodge,grand caravan se,excellent,6 cylinders,103831.0,automatic,mini-van,va,5.0,3,6,11,0,412,9,100000-110000
711,711,6971,5555,2012.0,nissan,altima 2.5s,excellent,4 cylinders,117144.0,automatic,sedan,va,8.0,3,4,5,0,413,0,110000-120000
712,712,6972,17450,2011.0,gmc,sierra slt 4x4,excellent,8 cylinders,118556.0,automatic,truck,va,9.0,3,8,22,0,414,5,110000-120000
713,713,6981,12550,2013.0,bmw,x1 xdrive28i,excellent,4 cylinders,83100.0,automatic,SUV,va,7.0,3,4,21,0,415,6,80000-90000
714,714,6983,11995,2014.0,ford,escape,excellent,4 cylinders,75605.0,automatic,SUV,va,6.0,3,4,13,0,374,6,70000-80000
715,715,6984,6995,2012.0,dodge,grand caravan,excellent,6 cylinders,115400.0,automatic,mini-van,va,8.0,3,6,11,0,416,9,110000-120000
716,716,6985,11995,2012.0,chevrolet,camaro,excellent,6 cylinders,72471.0,automatic,coupe,va,8.0,3,6,9,0,417,8,70000-80000
717,717,6986,4495,2004.0,bmw,325,excellent,6 cylinders,106999.0,automatic,coupe,va,16.0,3,6,21,0,418,8,100000-110000
718,718,6987,8495,2004.0,jeep,wrangler,excellent,6 cylinders,119985.0,automatic,SUV,va,16.0,3,6,10,0,407,6,110000-120000
719,719,6988,8995,2015.0,volkswagen,jetta,excellent,4 cylinders,75300.0,automatic,sedan,va,5.0,3,4,3,0,53,0,70000-80000
720,720,6989,12995,2016.0,ford,edge,excellent,4 cylinders,109600.0,automatic,SUV,va,4.0,3,4,13,0,387,6,100000-110000
721,721,6990,15995,2008.0,jeep,wrangler unlimi,excellent,6 cylinders,102539.0,automatic,SUV,va,12.0,3,6,10,0,370,6,100000-110000
722,722,6991,8495,2005.0,toyota,4runner,excellent,6 cylinders,155858.0,automatic,SUV,va,15.0,3,6,1,0,31,6,150000-160000
723,723,6992,12995,2013.0,honda,pilot,excellent,6 cylinders,122627.0,automatic,SUV,va,7.0,3,6,14,0,419,6,120000-130000
724,724,6993,14995,2013.0,toyota,rav4,excellent,4 cylinders,78677.0,automatic,SUV,va,7.0,3,4,1,0,113,6,70000-80000
725,725,6995,9995,2017.0,ford,fusion se 2.5l,excellent,4 cylinders,104826.0,automatic,sedan,va,3.0,3,4,13,0,420,0,100000-110000
726,726,6996,7950,2013.0,volkswagen,jetta tdi sportwagen,excellent,4 cylinders,108148.0,manual,wagon,va,7.0,3,4,3,2,421,2,100000-110000
727,727,6999,8450,2012.0,jeep,liberty limited 4x4,excellent,6 cylinders,76644.0,automatic,SUV,va,8.0,3,6,10,0,364,6,70000-80000
728,728,7000,4475,2012.0,nissan,sentra 2.0l sr,good,4 cylinders,134835.0,other,sedan,va,8.0,2,4,5,1,422,0,130000-140000
729,729,7004,7995,2014.0,chevrolet,cruze 1.8l ls,excellent,4 cylinders,24282.0,automatic,sedan,va,6.0,3,4,9,0,423,0,20000-30000
730,730,7009,13950,2017.0,chevrolet,equinox lt 2.4l,excellent,4 cylinders,70413.0,automatic,SUV,va,3.0,3,4,9,0,424,6,70000-80000
731,731,7018,3990,2002.0,honda,accord se,excellent,4 cylinders,141000.0,automatic,sedan,va,18.0,3,4,14,0,362,0,140000-150000
732,732,7020,5500,2008.0,dodge,avenger se,excellent,4 cylinders,64380.0,automatic,sedan,va,12.0,3,4,11,0,425,0,60000-70000
